ts_code,name,industry,trade_date,limit_type,close,up_limit,down_limit,open_times,fd_amount,first_time,last_time,seal_amount_x,pct_chg,amount,vol,turnover_rate_f,turnover_rate,circ_mv,total_mv,volume_ratio,lhb_net_amount,limit_up_flag,seal_amount_y,seal_amount,_f_momo,_f_amt,_f_turn,_f_vr,_f_cap,_f_small,_bonus,_penalty,StrengthScore
001896.SZ,豫能控股,火力发电,20260212,U,8.29,8.29,6.79,0.0,453123963.0,92500,92500,453123963.0,9.9469,44297.59,53434.97,0.918,0.918,,1264872.7226,0.11,82275695.85,1,453123963.0,453123963.0,0.9836065573770492,1.0,1.0,1.0,0.5081967213114754,0.5081967213114754,0.05,0.0,90.934426
600589.SH,大位科技,软件服务,20260212,U,13.86,13.86,11.34,0.0,426481999.0,92502,92502,426481999.0,10.0,345188.747,249053.93,1.9949,1.9949,,2057752.4675,0.22,209438378.1,1,426481999.0,426481999.0,0.5819672131147541,0.9344262295081968,0.9836065573770492,0.9836065573770492,0.5081967213114754,0.5081967213114754,0.05,0.0,81.540984
600821.SH,金开新能,新型电力,20260212,U,6.51,6.51,5.33,0.0,241630140.0,93000,93000,241630140.0,9.9662,486049.41,747113.35,4.9437,4.9437,,1300218.5079,1.13,916188903.0,1,241630140.0,241630140.0,0.9344262295081968,0.7704918032786885,0.9508196721311475,0.7704918032786885,0.5081967213114754,0.5081967213114754,0.05,0.0,81.262295
002824.SZ,和胜股份,铝,20260212,U,24.9,24.9,20.38,0.0,115825288.0,100803,100803,115825288.0,9.9823,303806.315,125565.65,9.9056,9.9056,,774835.3066,1.12,,1,115825288.0,115825288.0,0.8852459016393442,0.9508196721311475,0.7049180327868853,0.7950819672131147,0.5081967213114754,0.5081967213114754,0.05,0.0,80.344262
605033.SH,美邦股份,农药化肥,20260212,U,26.06,26.06,21.32,0.0,396508112.0,92503,92503,396508112.0,10.0042,56211.238,21569.93,5.855,5.855,,352331.2,0.64,33492980.58,1,396508112.0,396508112.0,0.4262295081967213,0.9836065573770492,0.9016393442622951,0.9426229508196722,0.5081967213114754,0.5081967213114754,0.05,0.0,78.04918
603533.SH,掌阅科技,互联网,20260212,U,34.2,34.2,27.98,0.0,586646280.0,92503,92503,586646280.0,10.0032,402523.74,117697.0,5.1523,5.1523,,1501027.1757,1.21,,1,586646280.0,586646280.0,0.45901639344262296,0.8852459016393442,0.9180327868852459,0.7131147540983607,0.5081967213114754,0.5081967213114754,0.05,0.0,74.57377
601619.SH,嘉泽新能,新型电力,20260212,U,5.86,5.86,4.8,0.0,62727092.0,131007,131007,62727092.0,9.9437,825013.851,1475101.3,11.2648,11.2648,,1706880.0615,1.12,,1,62727092.0,62727092.0,1.0,0.6229508196721312,0.6721311475409836,0.7950819672131147,0.5081967213114754,0.5081967213114754,0.05,0.0,73.229508
600397.SH,江钨装备,煤炭开采,20260212,U,14.31,14.31,11.71,0.0,189428567.0,93000,93000,189428567.0,9.9923,705646.174,493897.24,8.2251,8.2251,,1416632.5911,1.03,8519896.24,1,189428567.0,189428567.0,0.7540983606557377,0.6721311475409836,0.7704918032786885,0.8524590163934426,0.5081967213114754,0.5081967213114754,0.05,0.0,72.508197
601872.SH,招商轮船,水运,20260212,U,13.22,13.22,10.82,3.0,64255545.0,93841,100032,64255545.0,9.9834,1332852.266,1021613.94,4.0203,4.0203,,10674539.8996,1.05,,1,64255545.0,64255545.0,0.8360655737704918,0.36065573770491804,0.9672131147540983,0.8360655737704918,0.5081967213114754,0.5081967213114754,0.05,0.0,69.688525
603090.SH,宏盛股份,专用机械,20260212,U,77.02,77.02,63.02,0.0,23498802.0,130015,130015,23498802.0,9.9971,432439.601,58720.96,11.8195,11.8195,,770200.0,1.72,,1,23498802.0,23498802.0,0.680327868852459,0.8360655737704918,0.6229508196721312,0.48360655737704916,0.5081967213114754,0.5081967213114754,0.05,0.0,69.540984
