trade_date,ts_code,name,limit_times,advance_stage,晋阶,stage_quality_weight,stage_risk_weight,stage_prior,stage_source,up_stat
20260703,000004.SZ,国华退,1.0,1→2,1→2,0.78,0.035,0.16,limit_list_d,4/5
20260703,000016.SZ,*ST康佳A,,,,,,,limit_step,
20260703,000078.SZ,ST海王,,,,,,,limit_step,
20260703,000506.SZ,招金黄金,2.0,2→3,2→3,0.92,0.015,0.35,limit_list_d,2/2
20260703,000547.SZ,航天发展,,,,,,,limit_list_d,0/0
20260703,000551.SZ,创元科技,,,,,,,limit_list_d,0/0
20260703,000576.SZ,甘化科工,2.0,2→3,2→3,0.92,0.015,0.35,limit_list_d,2/2
20260703,000592.SZ,平潭发展,1.0,1→2,1→2,0.78,0.035,0.16,limit_list_d,
20260703,000595.SZ,宝塔实业,2.0,2→3,2→3,0.92,0.015,0.35,limit_list_d,2/2
20260703,000639.SZ,ST西王,,,,,,,limit_step,
20260703,000656.SZ,金科股份,2.0,2→3,2→3,0.92,0.015,0.35,limit_list_d,2/2
20260703,000711.SZ,ST京蓝,,,,,,,limit_step,
20260703,000821.SZ,ST京机,,,,,,,limit_step,
20260703,000838.SZ,*ST发展,,,,,,,limit_step,
20260703,000887.SZ,中鼎股份,,,,,,,limit_list_d,0/0
20260703,000890.SZ,法尔胜,1.0,1→2,1→2,0.78,0.035,0.16,limit_list_d,
20260703,000908.SZ,石药景峰,2.0,2→3,2→3,0.92,0.015,0.35,limit_list_d,2/2
20260703,000909.SZ,*ST数源,,,,,,,limit_step,
20260703,000975.SZ,山金国际,1.0,1→2,1→2,0.78,0.035,0.16,limit_list_d,1/1
20260703,001218.SZ,丽臣实业,,,,,,,limit_list_d,0/0
20260703,001268.SZ,联合精密,1.0,1→2,1→2,0.78,0.035,0.16,limit_list_d,1/1
20260703,001270.SZ,铖昌科技,1.0,1→2,1→2,0.78,0.035,0.16,limit_list_d,1/1
20260703,001306.SZ,夏厦精密,1.0,1→2,1→2,0.78,0.035,0.16,limit_list_d,1/1
20260703,001309.SZ,德明利,,,,,,,limit_list_d,0/0
20260703,001317.SZ,三羊马,2.0,2→3,2→3,0.92,0.015,0.35,limit_list_d,2/2
20260703,001331.SZ,胜通能源,,,,,,,limit_list_d,2/4
20260703,001337.SZ,四川黄金,1.0,1→2,1→2,0.78,0.035,0.16,limit_list_d,1/1
20260703,001367.SZ,海森药业,,,,,,,limit_list_d,0/0
20260703,001399.SZ,惠科股份,1.0,1→2,1→2,0.78,0.035,0.16,limit_list_d,
20260703,001400.SZ,江顺科技,1.0,1→2,1→2,0.78,0.035,0.16,limit_list_d,1/1
20260703,002005.SZ,ST德豪,,,,,,,limit_step,
20260703,002048.SZ,宁波华翔,,,,,,,limit_list_d,0/0
20260703,002050.SZ,三花智控,,,,,,,limit_list_d,0/0
20260703,002056.SZ,横店东磁,,,,,,,limit_list_d,0/0
20260703,002067.SZ,景兴纸业,1.0,1→2,1→2,0.78,0.035,0.16,limit_list_d,1/1
20260703,002072.SZ,凯瑞德,1.0,1→2,1→2,0.78,0.035,0.16,limit_list_d,1/1
20260703,002090.SZ,金智科技,1.0,1→2,1→2,0.78,0.035,0.16,limit_list_d,1/1
20260703,002106.SZ,莱宝高科,2.0,2→3,2→3,0.92,0.015,0.35,limit_list_d,
20260703,002109.SZ,ST兴化,,,,,,,limit_step,
20260703,002122.SZ,ST汇洲,,,,,,,limit_step,
20260703,002137.SZ,实益达,,,,,,,limit_list_d,0/0
20260703,002141.SZ,贤丰控股,1.0,1→2,1→2,0.78,0.035,0.16,limit_list_d,7/13
20260703,002148.SZ,北纬科技,1.0,1→2,1→2,0.78,0.035,0.16,limit_list_d,1/1
20260703,002175.SZ,*ST东智,,,,,,,limit_step,
20260703,002198.SZ,ST嘉应,,,,,,,limit_step,
20260703,002249.SZ,大洋电机,1.0,1→2,1→2,0.78,0.035,0.16,limit_list_d,1/1
20260703,002270.SZ,华明装备,1.0,1→2,1→2,0.78,0.035,0.16,limit_list_d,1/1
20260703,002283.SZ,天润工业,1.0,1→2,1→2,0.78,0.035,0.16,limit_list_d,1/1
20260703,002292.SZ,奥飞娱乐,1.0,1→2,1→2,0.78,0.035,0.16,limit_list_d,1/1
20260703,002294.SZ,信立泰,1.0,1→2,1→2,0.78,0.035,0.16,limit_list_d,1/1
20260703,002305.SZ,*ST南置,,,,,,,limit_step,
20260703,002353.SZ,杰瑞股份,1.0,1→2,1→2,0.78,0.035,0.16,limit_list_d,1/1
20260703,002360.SZ,ST同德,,,,,,,limit_step,
20260703,002364.SZ,中恒电气,,,,,,,limit_list_d,0/0
20260703,002377.SZ,国创高新,1.0,1→2,1→2,0.78,0.035,0.16,limit_list_d,1/1
20260703,002396.SZ,星网锐捷,1.0,1→2,1→2,0.78,0.035,0.16,limit_list_d,3/4
20260703,002407.SZ,多氟多,1.0,1→2,1→2,0.78,0.035,0.16,limit_list_d,
20260703,002434.SZ,万里扬,1.0,1→2,1→2,0.78,0.035,0.16,limit_list_d,1/1
20260703,002448.SZ,中原内配,,,,,,,limit_list_d,0/0
20260703,002471.SZ,中超控股,1.0,1→2,1→2,0.78,0.035,0.16,limit_list_d,1/1
20260703,002472.SZ,双环传动,1.0,1→2,1→2,0.78,0.035,0.16,limit_list_d,2/4
20260703,002496.SZ,辉丰股份,1.0,1→2,1→2,0.78,0.035,0.16,limit_list_d,1/1
